Country,Code,Year,GDP per capita,Suicide_Rate
Serbia,SRB,2019,17220.316,11.4
Seychelles,SYC,2019,27783.162,8.1
Sierra Leone,SLE,2019,1875.1897,6.7
Singapore,SGP,2019,82336.34,11.2
Sint Maarten (Dutch part),SXM,2019,31100.963,#N/A
Slovakia,SVK,2019,27473.168,12.1
Slovenia,SVN,2019,34093.465,19.8
South Africa,ZAF,2019,12536.135,23.5
South Korea,KOR,2019,42219.47,28.6
Spain,ESP,2019,40366.4,7.7
Sri Lanka,LKA,2019,13290.122,14
Sudan,SDN,2019,4230.835,3.8
Suriname,SUR,2019,14480.707,25.4
Sweden,SWE,2019,52433.336,14.7
Switzerland,CHE,2019,75298.82,14.5
Syria,SYR,2019,7210.547,#N/A
Taiwan,TWN,2019,46761.25,#N/A
Tajikistan,TJK,2019,3893.754,4.3
Tanzania,TZA,2019,2358.761,4.3
Thailand,THA,2019,17116.309,8.8
Togo,TGO,2019,2235.2266,8.8
Trinidad and Tobago,TTO,2019,28643.447,8.7
Tunisia,TUN,2019,11090.384,3.3
Turkey,TUR,2019,26947.576,2.4
Turkmenistan,TKM,2019,26026.03,5.7
Turks and Caicos Islands,TCA,2019,16001.772,#N/A
Uganda,UGA,2019,2092.1492,4.6
Ukraine,UKR,2019,13144.867,21.6
United Arab Emirates,ARE,2019,66112.72,6.4
United Kingdom,GBR,2019,44274.957,7.9
United States,USA,2019,62589,16.1
Uruguay,URY,2019,20545.422,21.2
Uzbekistan,UZB,2019,12575.709,8
Venezuela,VEN,2019,251.09236,2.1
Vietnam,VNM,2019,7506.817,7.5
Yemen,YEM,2019,1777.2511,5.8
Zambia,ZMB,2019,3179.1958,7.3
Zimbabwe,ZWE,2019,2787.659,14.1
